"objectId","objectName","Activity","Description"
"131683","Christophe 2014 04 15 - 18 Rue Paul Brousse","marche",""
"Point","Latitude (degrés)","Longitude (degrés)","Altitude (m)","Relèvement (degrés)","Vitesse (m/s)","Durée"
"65","43.609374","3.865272","103.79875183105469","289.0","1.3729","2014-04-15T07:02:12.766Z"
"66","43.610391","3.865601","107.6421127319336","20.0","1.4516","2014-04-15T07:05:14.614Z"
"67","43.610479","3.865618","106.2380599975586","20.0","1.5206","2014-04-15T07:05:19.717Z"
"68","43.610517","3.865634","105.26049041748047","3.0","0.0","2014-04-15T07:05:24.809Z"
"69","43.610592","3.865647","104.11093139648438","12.0","1.0898","2014-04-15T07:05:29.839Z"
"70","43.610652","3.865676","103.1376724243164","28.0","0.0","2014-04-15T07:05:35.145Z"
"71","43.6107","3.865684","102.8836441040039","23.0","1.1948","2014-04-15T07:05:39.071Z"
"72","43.610803","3.865684","102.36589813232422","7.0","1.2705","2014-04-15T07:05:44.120Z"
"73","43.61088","3.865677","101.60371398925781","0.0","1.2207","2014-04-15T07:05:49.142Z"
"74","43.610955","3.865677","100.7738037109375","13.0","1.3549","2014-04-15T07:05:54.160Z"
"75","43.611063","3.865688","99.90606689453125","5.0","1.6122","2014-04-15T07:05:59.670Z"
"76","43.611131","3.86569","99.52635955810547","7.0","1.402","2014-04-15T07:06:04.677Z"
"77","43.611185","3.865684","98.34669494628906","2.0","0.0","2014-04-15T07:06:10.676Z"
"78","43.61131","3.865789","96.10987854003906","60.0","1.3531","2014-04-15T07:06:20.727Z"
"79","43.611355","3.865862","95.5238265991211","60.0","1.0998","2014-04-15T07:06:25.748Z"
"80","43.611471","3.865955","94.57246398925781","57.0","1.1847","2014-04-15T07:06:31.734Z"
"81","43.611511","3.866044","93.78498077392578","62.0","0.0","2014-04-15T07:06:36.724Z"
"82","43.611527","3.866093","93.65380096435547","70.0","1.3591","2014-04-15T07:06:39.101Z"
"83","43.611566","3.86618","93.57347106933594","74.0","1.3961","2014-04-15T07:06:44.160Z"
"84","43.6116","3.866285","93.59666442871094","98.0","1.5164","2014-04-15T07:06:49.321Z"
"85","43.611612","3.866404","93.36243438720703","88.0","1.6316","2014-04-15T07:06:54.402Z"
"86","43.611624","3.866544","93.24801635742188","86.0","1.6256","2014-04-15T07:06:59.729Z"
"87","43.611662","3.866635","93.04895782470703","23.0","1.6624","2014-04-15T07:07:05.768Z"
"88","43.611725","3.866627","92.22769927978516","347.0","1.6448","2014-04-15T07:07:10.785Z"
"89","43.611817","3.866628","90.93067169189453","342.0","1.6554","2014-04-15T07:07:16.770Z"
"90","43.611898","3.866664","89.70231628417969","19.0","1.5234","2014-04-15T07:07:22.819Z"
"91","43.611981","3.86672","89.51691436767578","23.0","1.5825","2014-04-15T07:07:28.770Z"
"92","43.612094","3.866786","89.69013214111328","19.0","1.7618","2014-04-15T07:07:34.781Z"
"93","43.61216","3.866831","89.7508544921875","42.0","1.8563","2014-04-15T07:07:39.109Z"
"94","43.612217","3.866895","89.60172271728516","56.0","1.8188","2014-04-15T07:07:44.170Z"
"95","43.612273","3.866943","90.47809600830078","13.0","1.8869","2014-04-15T07:07:49.283Z"
"96","43.61234","3.86691","91.06990051269531","13.0","1.7526","2014-04-15T07:07:54.310Z"
"97","43.612422","3.866977","92.23489379882813","18.0","1.5887","2014-04-15T07:07:59.707Z"
"98","43.612512","3.867041","92.91948699951172","8.0","1.5652","2014-04-15T07:08:04.714Z"
"99","43.612579","3.867116","93.0587158203125","77.0","1.5409","2014-04-15T07:08:10.696Z"
"100","43.612646","3.867275","93.28337097167969","51.0","1.6442","2014-04-15T07:08:16.181Z"
"101","43.612671","3.867401","93.2413558959961","51.0","0.0","2014-04-15T07:08:20.717Z"
"102","43.612692","3.867415","92.98538970947266","196.0","0.3094","2014-04-15T07:08:25.758Z"
"103","43.612688","3.867432","92.60387420654297","71.0","0.0","2014-04-15T07:08:31.779Z"
"104","43.612698","3.867442","92.17222595214844","43.0","0.5578","2014-04-15T07:08:37.771Z"
"105","43.612701","3.867447","91.99263000488281","41.0","0.5989","2014-04-15T07:08:39.153Z"
"106","43.612754","3.867483","91.0635986328125","28.0","0.9991","2014-04-15T07:08:44.807Z"
"107","43.612853","3.867547","90.64523315429688","33.0","1.1751","2014-04-15T07:08:50.795Z"
"108","43.612915","3.867599","90.42768859863281","32.0","1.1664","2014-04-15T07:08:56.087Z"
"109","43.612986","3.867671","90.20706939697266","39.0","1.2577","2014-04-15T07:09:01.864Z"
"110","43.613055","3.867728","90.05610656738281","18.0","1.3522","2014-04-15T07:09:07.789Z"
"111","43.613118","3.867789","90.00233459472656","30.0","1.4116","2014-04-15T07:09:13.789Z"
"112","43.613161","3.867898","89.9407958984375","78.0","1.4173","2014-04-15T07:09:19.778Z"
"113","43.613161","3.868009","90.13465881347656","98.0","1.4633","2014-04-15T07:09:24.988Z"
"114","43.613141","3.868151","90.7958984375","109.0","1.5892","2014-04-15T07:09:30.730Z"
"115","43.613125","3.868288","91.08047485351563","109.0","1.6034","2014-04-15T07:09:35.776Z"
"116","43.613126","3.86836","91.32405853271484","114.0","1.6127","2014-04-15T07:09:39.102Z"
"117","43.61312","3.868466","91.60438537597656","81.0","1.576","2014-04-15T07:09:44.119Z"
"118","43.613131","3.86857","91.44538879394531","59.0","1.6207","2014-04-15T07:09:49.182Z"
"119","43.613134","3.868663","91.43303680419922","101.0","1.5878","2014-04-15T07:09:54.287Z"
"120","43.613113","3.868749","91.37287902832031","104.0","1.537","2014-04-15T07:09:59.333Z"
"121","43.6131","3.868827","91.141357421875","99.0","0.0","2014-04-15T07:10:04.365Z"
"122","43.613082","3.868897","90.88322448730469","116.0","1.2442","2014-04-15T07:10:09.733Z"
"123","43.613081","3.868925","90.92183685302734","117.0","0.0","2014-04-15T07:10:15.716Z"
"124","43.613138","3.868978","91.46658325195313","76.0","0.0","2014-04-15T07:10:20.774Z"
"125","43.613185","3.868989","92.80332946777344","53.0","0.0","2014-04-15T07:10:26.785Z"
"126","43.613212","3.868974","93.45030212402344","42.0","0.0","2014-04-15T07:10:32.724Z"
"127","43.613229","3.868886","93.48474884033203","42.0","0.0","2014-04-15T07:10:38.707Z"
"128","43.613239","3.868868","93.523681640625","42.0","0.0","2014-04-15T07:10:44.126Z"
"129","43.613273","3.868789","93.90520477294922","284.0","0.0","2014-04-15T07:10:49.183Z"
"130","43.613273","3.868789","93.90520477294922","284.0","0.0","2014-04-15T07:12:19.401Z"
