"objectId","objectName","type","Description"
"131670","Christophe 3 Rue du Faubourg du Courreau","marche",""
"Point","Latitude (degrés)","Longitude (degrés)","Altitude (m)","Relèvement (degrés)","Vitesse (m/s)","Durée
"66","43.611606","3.866419","97.86605072021484","63.0","0.4503","2014-04-17T07:03:46.985Z"
"67","43.611617","3.866468","98.2840805053711","89.0","0.5075","2014-04-17T07:03:51.854Z"
"68","43.611626","3.866583","98.00395202636719","82.0","0.0","2014-04-17T07:03:56.847Z"
"69","43.611629","3.86664","97.59503936767578","67.0","0.0","2014-04-17T07:04:02.098Z"
"70","43.611659","3.866654","96.85731506347656","2.0","0.0","2014-04-17T07:04:07.116Z"
"71","43.611704","3.866696","95.97464752197266","22.0","1.1521","2014-04-17T07:04:12.153Z"
"72","43.611755","3.866712","95.28936004638672","20.0","1.2313","2014-04-17T07:04:17.238Z"
"73","43.611817","3.866746","95.11577606201172","22.0","0.0","2014-04-17T07:04:22.280Z"
"74","43.611888","3.866777","94.79052734375","13.0","1.2658","2014-04-17T07:04:27.300Z"
"75","43.611953","3.866806","94.10946655273438","9.0","1.3277","2014-04-17T07:04:32.868Z"
"76","43.612053","3.866825","93.03582000732422","18.0","1.2288","2014-04-17T07:04:38.877Z"
"77","43.612126","3.866835","92.29546356201172","19.0","1.2013","2014-04-17T07:04:43.904Z"
"78","43.612165","3.866837","91.4742431640625","17.0","1.2301","2014-04-17T07:04:47.014Z"
"79","43.612224","3.866824","90.09527587890625","0.0","1.2165","2014-04-17T07:04:52.171Z"
"80","43.612276","3.866845","89.60122680664063","21.0","1.2773","2014-04-17T07:04:57.177Z"
"81","43.612327","3.866875","89.74017333984375","25.0","1.2632","2014-04-17T07:05:02.214Z"
"82","43.612349","3.866916","90.18721008300781","25.0","0.0","2014-04-17T07:05:07.245Z"
"83","43.612401","3.866996","91.37933349609375","48.0","1.0165","2014-04-17T07:05:17.559Z"
"84","43.612425","3.867035","92.21592712402344","42.0","1.0329","2014-04-17T07:05:22.573Z"
"85","43.612471","3.867088","93.90431213378906","30.0","0.8322","2014-04-17T07:05:27.746Z"
"86","43.612519","3.867119","95.2159423828125","55.0","0.8607","2014-04-17T07:05:32.806Z"
"87","43.61258","3.867151","96.57735443115234","46.0","0.9579","2014-04-17T07:05:37.914Z"
"88","43.612685","3.867241","97.41864776611328","39.0","0.0","2014-04-17T07:05:42.982Z"
"89","43.612746","3.867328","97.15389251708984","67.0","1.7006","2014-04-17T07:05:46.858Z"
